"IMPORTANTE","cod_universidad","des_universidad","anio","cod_pais_nacionalidad","des_pais_nacionalidad","lat_pais_nacionalidad","lon_pais_nacionalidad","cod_continente_nacionalidad","des_continente_nacionalidad","cod_agregacion_paises_nacionalidad","des_agregacion_paises_nacionalidad","cod_comunidad_residencia","des_comunidad_residencia","cod_provincia_residencia","des_provincia_residencia","cod_municipio_residencia","des_municipio_residencia","lat_municipio_residencia","lon_municipio_residencia","cod_genero","des_genero","anio_nacimiento","cod_tipo_personal","des_tipo_personal","cod_categoria_cuerpo_escala","des_categoria_cuerpo_escala","cod_tipo_contrato","des_tipo_contrato","cod_dedicacion","des_dedicacion","num_horas_semanales_tiempo_parcial","cod_situacion_administrativa","des_situacion_administrativa","ind_cargo_remunerado","cod_titulo_doctorado","des_titulo_doctorado","cod_pais_doctorado","des_pais_doctorado","lat_pais_doctorado","lon_pais_doctorado","cod_continente_doctorado","des_continente_doctorado","cod_agregacion_paises_doctorado","des_agregacion_paises_doctorado","cod_universidad_doctorado","des_universidad_doctorado","anio_lectura_tesis","anio_expedicion_titulo_doctor","cod_mencion_europea_int","des_mencion_europea","cod_tipo_unidad_responsable","des_tipo_unidad_responsable","cod_unidad_responsable","des_unidad_responsable","cod_area_conocimiento","des_area_conocimiento","anio_incorporacion_ap","anio_incorpora_cuerpo_docente","num_trienios","num_quinquenios","num_sexenios","num_tesis","ind_investigador_principal"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","023","Universidad Autónoma de Madrid","2022","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","13","Madrid","28","Madrid","28079","MADRID","40.41669","-3.700346","M","Mujer","1982","6","Personal laboral","5","Profesor Contratado Doctor","1","Contrato Indefinido o Fijo","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","1","Uno","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","025","Universidad Politécnica de Madrid","2014",,"0","No","2","Departamento","55001548","Departamento de Educación Física, Deporte y Motricidad Humana","187","Didáctica de la Expresión Corporal",,,"7","4","1",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","023","Universidad Autónoma de Madrid","2022","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","13","Madrid","28","Madrid","28058","FUENLABRADA","40.28387","-3.800329","M","Mujer","1969","6","Personal laboral","5","Profesor Contratado Doctor","1","Contrato Indefinido o Fijo","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","1","Uno","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","023","Universidad Autónoma de Madrid","2011","2017","0","No","2","Departamento","55001548","Departamento de Educación Física, Deporte y Motricidad Humana","187","Didáctica de la Expresión Corporal","1996","2003","8","4","2",,"S"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","023","Universidad Autónoma de Madrid","2022","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","13","Madrid","28","Madrid","28079","MADRID","40.41669","-3.700346","M","Mujer","1988","6","Personal laboral","4","Profesor Ayudante Doctor","2","Contrato de Duración Determinada","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","1","Uno","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional",,,"2014","2014","0","No","2","Departamento","55001548","Departamento de Educación Física, Deporte y Motricidad Humana","187","Didáctica de la Expresión Corporal",,,"12","5","0",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","023","Universidad Autónoma de Madrid","2022","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","13","Madrid","28","Madrid","28079","MADRID","40.41669","-3.700346","M","Mujer","1991","6","Personal laboral","5","Profesor Contratado Doctor","1","Contrato Indefinido o Fijo","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","1","Uno","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","023","Universidad Autónoma de Madrid",,"2019","1","Sí","2","Departamento","55001548","Departamento de Educación Física, Deporte y Motricidad Humana","187","Didáctica de la Expresión Corporal",,,"6","3","2",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","023","Universidad Autónoma de Madrid","2022","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","13","Madrid","28","Madrid","28079","MADRID","40.41669","-3.700346","M","Mujer","1963","6","Personal laboral","6","Profesor Asociado","2","Contrato de Duración Determinada","2","Dedicación a Tiempo Parcial","8","1","Servicio Activo","S","1","Uno","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","023","Universidad Autónoma de Madrid","2018","2018","0","No","2","Departamento","55001548","Departamento de Educación Física, Deporte y Motricidad Humana","187","Didáctica de la Expresión Corporal","1986","2000","12","4","3",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","023","Universidad Autónoma de Madrid","2022","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","13","Madrid","28","Madrid","28079","MADRID","40.41669","-3.700346","M","Mujer","1968","6","Personal laboral","5","Profesor Contratado Doctor","1","Contrato Indefinido o Fijo","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","1","Uno","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","023","Universidad Autónoma de Madrid","2017","2017","0","No","2","Departamento","55001548","Departamento de Educación Física, Deporte y Motricidad Humana","187","Didáctica de la Expresión Corporal",,,"2","1","1",,"S"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","023","Universidad Autónoma de Madrid","2022","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","7","Castilla León","40","Segovia","40194","SEGOVIA","40.94943","-4.119209","M","Mujer","1963","6","Personal laboral","6","Profesor Asociado","2","Contrato de Duración Determinada","2","Dedicación a Tiempo Parcial","12","1","Servicio Activo","N","1","Uno",,,,,,,,,,,"2001",,"0","No","2","Departamento","55001548","Departamento de Educación Física, Deporte y Motricidad Humana","187","Didáctica de la Expresión Corporal",,,"0","0","0",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","023","Universidad Autónoma de Madrid","2022","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","13","Madrid","28","Madrid","28006","ALCOBENDAS","40.54754","-3.642091","M","Mujer","1972","1","Funcionario de carrera","2","Profesor Titular de Universidad","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","1","Uno",,,,,,,,,,,"2000",,"0","No","2","Departamento","55001548","Departamento de Educación Física, Deporte y Motricidad Humana","187","Didáctica de la Expresión Corporal",,,"0","0","0",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","023","Universidad Autónoma de Madrid","2022","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","7","Castilla León","40","Segovia","40155","PALAZUELOS DE ERESMA","40.93102","-4.059671","M","Mujer","1987","6","Personal laboral","4","Profesor Ayudante Doctor","2","Contrato de Duración Determinada","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","0","No",,,,,,,,,,,,,,,"2","Departamento","55001548","Departamento de Educación Física, Deporte y Motricidad Humana","187","Didáctica de la Expresión Corporal",,,"1","0","0",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","023","Universidad Autónoma de Madrid","2022","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","13","Madrid","28","Madrid","28079","MADRID","40.41669","-3.700346","M","Mujer","1963","1","Funcionario de carrera","2","Profesor Titular de Universidad","8","Personal Funcionario\Personal eventual","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","1","Uno","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","019","Universidad de Valladolid","2000","2000","0","No","2","Departamento","55001548","Departamento de Educación Física, Deporte y Motricidad Humana","187","Didáctica de la Expresión Corporal",,,"7","4","0",,"N"
"LOS DATOS DE ESTA FILA NO CORRESPONDEN A UN SÓLO INDIVIDUO. PARA INTERPRETAR CORRÉCTAMENTE CONSULTE: https://www.universidata.es/anonimización","023","Universidad Autónoma de Madrid","2022","724","España","40.463667","-3.74922","150","Europa","39","Europa meridional","13","Madrid","28","Madrid","28115","POZUELO DE ALARCÓN","40.4352","-3.813062","M","Mujer","1976","6","Personal laboral","14","Profesor Colaborador","1","Contrato Indefinido o Fijo","1","Dedicación a Tiempo Completo",,"1","Servicio Activo","N","0","No",,,,,,,,,,,,,,,"2","Departamento","55001548","Departamento de Educación Física, Deporte y Motricidad Humana","245","Educación Física y Deportiva",,,"14","3","2",,"N"
